,smoothness_flatfield,smoothness_darkfield,sparse_cost_darkfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
38,0.001,0.046415888336127795,100.0,ladmap,False,2,True,3,3.234878183985282,0.29175197873055647,2910.75466548955
39,0.001,0.046415888336127795,100.0,ladmap,False,2,True,4,3.235222423755732,0.2921186932738441,2914.4221551621968
40,0.001,2.1544346900318843,0.001,ladmap,False,2,True,0,3.234704419171175,0.2891391376096324,2884.626080515495
41,0.001,2.1544346900318843,0.001,ladmap,False,2,True,1,3.2348920326969246,0.2898267273782966,2891.502165815663
42,0.001,2.1544346900318843,0.001,ladmap,False,2,True,2,3.2352490672281786,0.28978088806038566,2891.0441296710846
43,0.001,2.1544346900318843,0.001,ladmap,False,2,True,3,3.2345660741153948,0.29442593894202856,2937.493955494401
44,0.001,2.1544346900318843,0.001,ladmap,False,2,True,4,3.234902430829997,0.2927298841793234,2920.533744224064
45,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,True,0,3.234419140616525,0.29143110350517987,2907.545454192415
46,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,True,1,3.2352005153565906,0.2911407878250772,2904.6430787661284
47,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,True,2,3.2346878871094273,0.2918436573663784,2911.6712615508936
48,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,True,3,3.234698655426753,0.2902240014668582,2895.4747133240085
49,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,True,4,3.2347891055941806,0.2944717782599395,2937.952571704989
50,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,True,0,3.2346645886537075,0.2904837576016869,2898.0722406055224
51,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,True,1,3.2348054424376125,0.2904684778290499,2897.919583732936
52,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,True,2,3.2346692712319722,0.29280628304250833,2921.2974996963153
53,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,True,3,3.2341407210781745,0.28900161965589954,2883.250337280074
54,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,True,4,3.2345612511678903,0.2914005439599059,2907.240000850227
55,0.001,2.1544346900318843,100.0,ladmap,False,2,True,0,3.23457333352048,0.2911560675977141,2904.795249310662
56,0.001,2.1544346900318843,100.0,ladmap,False,2,True,1,3.234565817127745,0.28924609601809126,2885.69552599804
57,0.001,2.1544346900318843,100.0,ladmap,False,2,True,2,3.234952609099524,0.29269932463404946,2920.228198949594
58,0.001,2.1544346900318843,100.0,ladmap,False,2,True,3,3.2350880930580916,0.2911713473703511,2904.9485617965693
59,0.001,2.1544346900318843,100.0,ladmap,False,2,True,4,3.2343661434687907,0.2915533416862757,2908.767783006226
60,0.001,100.0,0.001,ladmap,False,2,True,0,3.2346083484694557,0.2904684778290499,2897.9193866389683
61,0.001,100.0,0.001,ladmap,False,2,True,1,3.2344646643749586,0.29132414509672094,2906.4759156315845
62,0.001,100.0,0.001,ladmap,False,2,True,2,3.2346454083232863,0.2921339730464811,2914.574375873134
63,0.001,100.0,0.001,ladmap,False,2,True,3,3.234350394293554,0.2921339730464811,2914.5740808591045
64,0.001,100.0,0.001,ladmap,False,2,True,4,3.2340302282986095,0.29023928123949516,2895.6268426232505
65,0.001,100.0,0.046415888336127795,ladmap,False,2,True,0,3.234916437261668,0.2928215628151453,2921.450544588715
66,0.001,100.0,0.046415888336127795,ladmap,False,2,True,1,3.2347076413679665,0.2908657519176115,2901.892226817483
67,0.001,100.0,0.046415888336127795,ladmap,False,2,True,2,3.234727955400116,0.293127158267885,2924.50631063425
68,0.001,100.0,0.046415888336127795,ladmap,False,2,True,3,3.2351259108484025,0.289460012835009,2887.835254260938
69,0.001,100.0,0.046415888336127795,ladmap,False,2,True,4,3.2334788983589218,0.2908504721449745,2901.738200348104
70,0.001,100.0,2.1544346900318843,ladmap,False,2,True,0,3.234182820615538,0.2871222076215506,2864.4562590361215
71,0.001,100.0,2.1544346900318843,ladmap,False,2,True,1,3.234417300152971,0.29100326987134434,2903.2671160135965
72,0.001,100.0,2.1544346900318843,ladmap,False,2,True,2,3.2347895193647225,0.29269932463404946,2920.2280358598596
73,0.001,100.0,2.1544346900318843,ladmap,False,2,True,3,3.2346631290557832,0.290392078965865,2897.1554527877056
74,0.001,100.0,2.1544346900318843,ladmap,False,2,True,4,3.23470194169991,0.29259236622559054,2919.1583641976054
75,0.001,100.0,100.0,ladmap,False,2,True,0,3.2340410905915373,0.29199645509274824,2913.198592018074
76,0.001,100.0,100.0,ladmap,False,2,True,1,3.233851019508883,0.2906365553280567,2899.599404300076
77,0.001,100.0,100.0,ladmap,False,2,True,2,3.2345360646837436,0.2894141735170981,2887.3762712356643
78,0.001,100.0,100.0,ladmap,False,2,True,3,3.234384612919414,0.28976560828774867,2890.890467490406
79,0.001,100.0,100.0,ladmap,False,2,True,4,3.234271414928284,0.29059071601014574,2899.1414315163856
80,0.046415888336127795,0.001,0.001,ladmap,False,2,True,0,3.2791326256367337,0.009091464719004981,84.19377981568654
81,0.046415888336127795,0.001,0.001,ladmap,False,2,True,1,3.2790180909358693,0.008159398588149009,74.87300397242595
82,0.046415888336127795,0.001,0.001,ladmap,False,2,True,2,3.275271876360749,0.007838523362772363,71.66050550408437
83,0.046415888336127795,0.001,0.001,ladmap,False,2,True,3,3.2782562346771735,0.006264706781163096,55.925324046308134
84,0.046415888336127795,0.001,0.001,ladmap,False,2,True,4,3.277068610107081,0.0088928276747242,82.2053453573491
85,0.046415888336127795,0.001,0.046415888336127795,ladmap,False,2,True,0,3.2351715181400174,0.08949362833481038,888.1714548662437
86,0.046415888336127795,0.001,0.046415888336127795,ladmap,False,2,True,1,3.235344935995935,0.0895700271979953,888.9356169159489
87,0.046415888336127795,0.001,0.046415888336127795,ladmap,False,2,True,2,3.2350980749137297,0.08950890810744735,888.3241791493872
