,smoothness_flatfield,smoothness_darkfield,sparse_cost_darkfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
18,0.001,0.001,100.0,ladmap,False,2,False,3,3.3236711342076295,0.38546282431317425,3847.9519142659497
19,0.001,0.001,100.0,ladmap,False,2,False,4,3.3225178204591934,0.3851113895425236,3844.4364132456953
20,0.001,0.046415888336127795,0.001,ladmap,False,2,False,0,3.4764059717100646,0.3881979036151942,3875.4554421236517
21,0.001,0.046415888336127795,0.001,ladmap,False,2,False,1,3.4753739002710846,0.3888243742933105,3881.7191168333766
22,0.001,0.046415888336127795,0.001,ladmap,False,2,False,2,3.4798189970205806,0.3906273874644745,3899.7536936417655
23,0.001,0.046415888336127795,0.001,ladmap,False,2,False,3,3.475048904426858,0.3878617486171806,3872.0925350762327
24,0.001,0.046415888336127795,0.001,ladmap,False,2,False,4,3.47859605565493,0.3873575161201601,3867.053757257256
25,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,False,0,3.3223737938289846,0.38572258044800295,3850.5481782738584
26,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,False,1,3.3225383661037142,0.3866240870335849,3859.563408701953
27,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,False,2,3.322376802517241,0.3843779604559484,3837.1019813620014
28,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,False,3,3.323004686796307,0.38500443113406474,3843.3673160274434
29,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,False,4,3.321685040365566,0.38549338385844817,3848.2555236248472
30,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,False,0,3.32227245357899,0.3870977599853314,3864.299872306893
31,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,False,1,3.323335453768767,0.38645600953457815,3857.8834307995503
32,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,False,2,3.3212125527227228,0.3842251627295786,3835.572839848508
33,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,False,3,3.323384882524148,0.3843168413654005,3836.4917985365296
34,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,False,4,3.3233231966674643,0.38532530635944134,3846.576386791081
35,0.001,0.046415888336127795,100.0,ladmap,False,2,False,0,3.321050123706042,0.38404180545793476,3833.7391047030533
36,0.001,0.046415888336127795,100.0,ladmap,False,2,False,1,3.3227795186706213,0.38673104544204384,3860.6332339391092
37,0.001,0.046415888336127795,100.0,ladmap,False,2,False,2,3.323016648433927,0.385661461357455,3849.937630222984
38,0.001,0.046415888336127795,100.0,ladmap,False,2,False,3,3.323506211674333,0.38569202090272897,3850.243715238964
39,0.001,0.046415888336127795,100.0,ladmap,False,2,False,4,3.322538897902543,0.38508082999724963,3844.1308388703987
40,0.001,2.1544346900318843,0.001,ladmap,False,2,False,0,3.322345831643219,0.3857531399932769,3850.853745764412
41,0.001,2.1544346900318843,0.001,ladmap,False,2,False,1,3.322856725758295,0.38581425908382483,3851.465447564007
42,0.001,2.1544346900318843,0.001,ladmap,False,2,False,2,3.322394435490321,0.3851572288604346,3844.8946830398363
43,0.001,2.1544346900318843,0.001,ladmap,False,2,False,3,3.321389810214023,0.38552394340372215,3848.5608238474356
44,0.001,2.1544346900318843,0.001,ladmap,False,2,False,4,3.3240917548583804,0.38598233658283165,3853.147457583175
45,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,False,0,3.322605797218496,0.38552394340372215,3848.56203983444
46,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,False,1,3.3211161424227265,0.3858600984017358,3851.9221001597807
47,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,False,2,3.3217566921330506,0.3854169849952633,3847.491606644766
48,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,False,3,3.320515153084765,0.3856003422669071,3849.3239378221556
49,0.001,2.1544346900318843,0.046415888336127795,ladmap,False,2,False,4,3.321889112427055,0.38471411545396206,3840.4630436520474
50,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,False,0,3.322382361953894,0.38443907954649637,3837.713177826917
51,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,False,1,3.321200974785543,0.38650184885248906,3858.339689499676
52,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,False,2,3.322168663146315,0.38372093023255816,3830.531470988728
53,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,False,3,3.3220685348829617,0.3859059377196467,3852.38144573135
54,0.001,2.1544346900318843,2.1544346900318843,ladmap,False,2,False,4,3.322818431620348,0.38616569385447547,3854.979756976375
