,smoothness_flatfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
57,0.005179474679231213,approximate,False,2,False,2,3.6239953108495837,0.3684717171408489,3678.341166719339
58,0.005179474679231213,approximate,False,2,False,3,3.6245906365865177,0.3678758060080066,3672.3826507166527
59,0.005179474679231213,approximate,False,2,False,4,3.6245006009497533,0.36758549032790394,3669.479403879989
60,0.011787686347935873,ladmap,False,2,True,0,4.465704231291238,0.3016532713993216,3009.880391830758
61,0.011787686347935873,ladmap,False,2,True,1,4.472270122535498,0.2981236439201785,2974.5842436338494
62,0.011787686347935873,ladmap,False,2,True,2,4.491514720611343,0.300385050270452,2997.197412729534
63,0.011787686347935873,ladmap,False,2,True,3,4.493176756298208,0.30050728845154784,2998.420107527934
64,0.011787686347935873,ladmap,False,2,True,4,4.480871251688451,0.30192830730678727,3012.6303731881567
65,0.011787686347935873,ladmap,False,2,False,0,3.805250542334098,0.3706720044005745,3700.5252945480793
66,0.011787686347935873,ladmap,False,2,False,1,3.805219963366343,0.37238333893591663,3717.6386093225324
67,0.011787686347935873,ladmap,False,2,False,2,3.805306184206469,0.3710387189438621,3704.192495622827
68,0.011787686347935873,ladmap,False,2,False,3,3.805345501367824,0.37126791553341687,3706.4845008355364
69,0.011787686347935873,ladmap,False,2,False,4,3.8053909264769414,0.3722458209821838,3716.2636007483147
70,0.011787686347935873,approximate,False,2,True,0,4.510083757419808,0.2797726369831617,2791.1295905424086
71,0.011787686347935873,approximate,False,2,True,1,4.533586339979922,0.27653332518412127,2758.739147779112
72,0.011787686347935873,approximate,False,2,True,2,4.5157446550181035,0.27937536289460013,2787.1590475282583
73,0.011787686347935873,approximate,False,2,True,3,4.520031375266385,0.27610549155028574,2754.4572482825156
74,0.011787686347935873,approximate,False,2,True,4,4.524076048974919,0.2774501115423402,2767.9068177850504
75,0.011787686347935873,approximate,False,2,False,0,3.6220879198849976,0.3147327567765792,3140.949655685677
76,0.011787686347935873,approximate,False,2,False,1,3.6220791686166,0.31537450722733246,3147.367151441941
77,0.011787686347935873,approximate,False,2,False,2,3.621323479941957,0.31491611404822295,3142.7824639621717
78,0.011787686347935873,approximate,False,2,False,3,3.621928405563229,0.31344925587507255,3128.1144871562888
79,0.011787686347935873,approximate,False,2,False,4,3.6217724033484564,0.31491611404822295,3142.7829128855783
80,0.02682695795279726,ladmap,False,2,True,0,4.455006189108256,0.2608868380038505,2602.209744621802
81,0.02682695795279726,ladmap,False,2,True,1,4.462828431859001,0.2552638816734407,2545.980082606875
82,0.02682695795279726,ladmap,False,2,True,2,4.460072233288751,0.25796840143018673,2573.0243441724856
83,0.02682695795279726,ladmap,False,2,True,3,4.472587706244013,0.25640986462121446,2557.441403479459
84,0.02682695795279726,ladmap,False,2,True,4,4.468449132488525,0.25720441279833756,2565.3849309767743
85,0.02682695795279726,ladmap,False,2,False,0,3.8039173855785258,0.34995263270482535,3493.330244433832
86,0.02682695795279726,ladmap,False,2,False,1,3.804864115731909,0.3510222167894142,3504.027032009874
87,0.02682695795279726,ladmap,False,2,False,2,3.804345875896417,0.3545060049506463,3538.86439538236
88,0.02682695795279726,ladmap,False,2,False,3,3.8051933842325183,0.34840937566849006,3477.898950069133
89,0.02682695795279726,ladmap,False,2,False,4,3.80517611822027,0.35149588974116064,3508.7640735298264
90,0.02682695795279726,approximate,False,2,True,0,4.479097171341541,0.24036610335238212,2397.0495095461893
91,0.02682695795279726,approximate,False,2,True,1,4.507997186605775,0.23714207132597867,2364.808913929509
92,0.02682695795279726,approximate,False,2,True,2,4.508541820207449,0.2385783699538551,2379.1713607137744
93,0.02682695795279726,approximate,False,2,True,3,4.504305776863766,0.2372948690523485,2366.336452495178
94,0.02682695795279726,approximate,False,2,True,4,4.523682108436415,0.23816581609265655,2375.0461487644275
95,0.02682695795279726,approximate,False,2,False,0,3.616482632022026,0.23935763835834123,2387.192866215434
96,0.02682695795279726,approximate,False,2,False,1,3.6164855208879922,0.2373865476881704,2367.481962402592
97,0.02682695795279726,approximate,False,2,False,2,3.6158165038966597,0.24004522812700546,2394.068097773951
98,0.02682695795279726,approximate,False,2,False,3,3.6163678151235414,0.23504874247471197,2344.103792562243
99,0.02682695795279726,approximate,False,2,False,4,3.6163839571330008,0.23781438132200594,2371.7601971771924
100,0.0610540229658533,ladmap,False,2,True,0,4.424557879593729,0.20121932585643126,2005.5226461196637
101,0.0610540229658533,ladmap,False,2,True,1,4.43748706765554,0.20109708767533538,2004.300145447921
102,0.0610540229658533,ladmap,False,2,True,2,4.434622298658043,0.2016318797176298,2009.647129253218
