,smoothness_flatfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost,entropy2,autotune_cost2
59,0.005179474679231213,approximate,False,0,False,4,5.187288743361051,0.4018412463821664,17.242526134826043,5.187288743361051,17.242526134826043
60,0.011787686347935873,ladmap,False,0,True,0,2.5769032708297677,0.283468809655767,11.080967560502776,3.997685633435669,12.501749923108678
61,0.011787686347935873,ladmap,False,0,True,1,2.470301687454097,0.2816214052589445,10.918943845222433,3.9986618083289565,12.447303966097293
62,0.011787686347935873,ladmap,False,0,True,2,2.508836293704535,0.2845002771106595,11.04384460702432,3.998139428875799,12.533147742195585
63,0.011787686347935873,ladmap,False,0,True,3,2.4319776645728766,0.2755249707494304,10.697726787055789,3.9993224883420755,12.265071610824988
64,0.011787686347935873,ladmap,False,0,True,4,2.407708687759828,0.2760022168852762,10.687775194318114,3.9990996359411586,12.279166142499445
65,0.011787686347935873,ladmap,False,0,False,0,5.323788762043365,0.33996859412525404,15.522846585800988,5.323788762043365,15.522846585800988
66,0.011787686347935873,ladmap,False,0,False,1,5.322629869705047,0.33882936141388015,15.487510712121452,5.322629869705047,15.487510712121452
67,0.011787686347935873,ladmap,False,0,False,2,5.322374794256641,0.3361198349652072,15.405969843212857,5.322374794256641,15.405969843212857
68,0.011787686347935873,ladmap,False,0,False,3,5.323470342855586,0.33936818769628674,15.504515973744189,5.323470342855586,15.504515973744189
69,0.011787686347935873,ladmap,False,0,False,4,5.322691400208367,0.33647392080793154,15.416909024446312,5.322691400208367,15.416909024446312
70,0.011787686347935873,approximate,False,0,True,0,3.2544117188980772,0.30051111521645424,12.269745175391705,4.260750936624192,13.27608439311782
71,0.011787686347935873,approximate,False,0,True,1,3.179556155503201,0.3043136892665805,12.308966833500616,4.259772493104312,13.389183171101728
72,0.011787686347935873,approximate,False,0,True,2,3.2109120229087806,0.30586858796723937,12.386969661925962,4.25906938357362,13.435127022590802
73,0.011787686347935873,approximate,False,0,True,3,3.138073682727584,0.30283576574912247,12.223146655201258,4.260828993835417,13.34590196630909
74,0.011787686347935873,approximate,False,0,True,4,3.196301799557986,0.30332840692160845,12.29615400720624,4.259885891497576,13.35973809914583
75,0.011787686347935873,approximate,False,0,False,0,5.18854099657842,0.39285054498429706,16.974057346107333,5.18854099657842,16.974057346107333
76,0.011787686347935873,approximate,False,0,False,1,5.189336496532291,0.39181907752940454,16.94390882241443,5.189336496532291,16.94390882241443
77,0.011787686347935873,approximate,False,0,False,2,5.1899321694291745,0.39092616540427366,16.917717131557385,5.1899321694291745,16.917717131557385
78,0.011787686347935873,approximate,False,0,False,3,5.189988872073293,0.38786255311287643,16.825865465459586,5.189988872073293,16.825865465459586
79,0.011787686347935873,approximate,False,0,False,4,5.188896460511377,0.3924964591415728,16.96379023475856,5.188896460511377,16.96379023475856
80,0.026826957952797256,ladmap,False,0,True,0,2.608882298442237,0.23874622821602315,9.77126914492293,3.994425138418292,11.156811984898987
81,0.026826957952797256,ladmap,False,0,True,1,2.52823488529189,0.2403627070632428,9.739116097189175,3.994961372600861,11.205842584498145
82,0.026826957952797256,ladmap,False,0,True,2,2.4449595130843784,0.24391896052712606,9.76252832889816,3.9946672911881307,11.312236107001912
83,0.026826957952797256,ladmap,False,0,True,3,2.459160500878079,0.22766180183508836,9.289014555930729,3.995289486108481,10.825143541161133
84,0.026826957952797256,ladmap,False,0,True,4,2.537270985197393,0.2303867233204015,9.448872684809437,3.9954614894324574,10.907063189044502
85,0.026826957952797256,ladmap,False,0,False,0,5.323769924046091,0.2697210419360798,13.415401182128484,5.323769924046091,13.415401182128484
86,0.026826957952797256,ladmap,False,0,False,1,5.322452892563902,0.2664880842416405,13.317095419813118,5.322452892563902,13.317095419813118
87,0.026826957952797256,ladmap,False,0,False,2,5.321893040963643,0.2653950366401872,13.28374414016926,5.321893040963643,13.28374414016926
88,0.026826957952797256,ladmap,False,0,False,3,5.322815043328488,0.267842847465977,13.358100467307796,5.322815043328488,13.358100467307796
89,0.026826957952797256,ladmap,False,0,False,4,5.32223792196315,0.2646868649547386,13.262843870605307,5.32223792196315,13.262843870605307
90,0.026826957952797256,approximate,False,0,True,0,3.0273313506717696,0.2556499784469487,10.69683070408023,4.505116572260652,12.174615925669112
91,0.026826957952797256,approximate,False,0,True,1,2.9871109759107592,0.2569431615247244,10.695405821652491,4.505573041367771,12.213867887109503
92,0.026826957952797256,approximate,False,0,True,2,2.9899068451295205,0.2550803620912618,10.642317707867374,4.505305298769465,12.157716161507318
93,0.026826957952797256,approximate,False,0,True,3,2.933067666584674,0.2520937249830655,10.495879416076638,4.505717491816475,12.06852924130844
94,0.026826957952797256,approximate,False,0,True,4,2.9539180976916612,0.25221688527618696,10.520424655977271,4.505606157283955,12.072112715569563
95,0.026826957952797256,approximate,False,0,False,0,5.192781819024097,0.34561857257220274,15.561338996190178,5.192781819024097,15.561338996190178
96,0.026826957952797256,approximate,False,0,False,1,5.193623100514851,0.34246259006096436,15.467500802343782,5.193623100514851,15.467500802343782
97,0.026826957952797256,approximate,False,0,False,2,5.194018416514808,0.3426319354640064,15.472976480435,5.194018416514808,15.472976480435
98,0.026826957952797256,approximate,False,0,False,3,5.194037762788449,0.34129256727631013,15.432814781077752,5.194037762788449,15.432814781077752
99,0.026826957952797256,approximate,False,0,False,4,5.193152927290183,0.34112322187326805,15.426849583488224,5.193152927290183,15.426849583488224
100,0.0610540229658533,ladmap,False,0,True,0,2.570328873187686,0.16344910400886753,7.473801993453712,3.992253615980489,8.895726736246514
101,0.0610540229658533,ladmap,False,0,True,1,2.50161242585774,0.1654042736621713,7.463740635722879,3.9926280663120943,8.954756276177234
102,0.0610540229658533,ladmap,False,0,True,2,2.5289114748153616,0.16643574111706386,7.5219837083272765,3.9926086712793225,8.985680904791238
103,0.0610540229658533,ladmap,False,0,True,3,2.3664185178255694,0.15278034361721782,6.949828826342104,3.9932668247295497,8.576677133246084
104,0.0610540229658533,ladmap,False,0,True,4,2.4731688499164557,0.15584395590861505,7.1484875271749075,3.993305199460648,8.6686238767191
105,0.0610540229658533,ladmap,False,0,False,0,5.323014561168293,0.18821971796292875,10.969606100056154,5.323014561168293,10.969606100056154
106,0.0610540229658533,ladmap,False,0,False,1,5.322245794763793,0.19336166020075127,11.123095600786332,5.322245794763793,11.123095600786332
107,0.0610540229658533,ladmap,False,0,False,2,5.3217832375658185,0.18920500030790074,10.997933246802841,5.3217832375658185,10.997933246802841
108,0.0610540229658533,ladmap,False,0,False,3,5.323295379515307,0.1904366032391157,11.03639347668878,5.323295379515307,11.03639347668878
109,0.0610540229658533,ladmap,False,0,False,4,5.322672458945339,0.19002093724983066,11.02330057644026,5.322672458945339,11.02330057644026
110,0.0610540229658533,approximate,False,0,True,0,2.537586899202076,0.18909723505141943,8.210503950744659,3.9936983469918608,9.666615398534443
