,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep
1013,3,100,10,30,biased,3
1014,3,100,10,30,biased,4
1015,3,100,10,30,unbiased,0
1016,3,100,10,30,unbiased,1
1017,3,100,10,30,unbiased,2
1018,3,100,10,30,unbiased,3
1019,3,100,10,30,unbiased,4
1020,3,100,10,100,biased,0
1021,3,100,10,100,biased,1
1022,3,100,10,100,biased,2
1023,3,100,10,100,biased,3
1024,3,100,10,100,biased,4
1025,3,100,10,100,unbiased,0
1026,3,100,10,100,unbiased,1
1027,3,100,10,100,unbiased,2
1028,3,100,10,100,unbiased,3
1029,3,100,10,100,unbiased,4
1030,3,100,10,300,biased,0
1031,3,100,10,300,biased,1
1032,3,100,10,300,biased,2
1033,3,100,10,300,biased,3
1034,3,100,10,300,biased,4
1035,3,100,10,300,unbiased,0
1036,3,100,10,300,unbiased,1
1037,3,100,10,300,unbiased,2
1038,3,100,10,300,unbiased,3
1039,3,100,10,300,unbiased,4
1050,3,100,100,10,biased,0
1051,3,100,100,10,biased,1
1052,3,100,100,10,biased,2
1053,3,100,100,10,biased,3
1054,3,100,100,10,biased,4
1055,3,100,100,10,unbiased,0
1056,3,100,100,10,unbiased,1
1057,3,100,100,10,unbiased,2
1058,3,100,100,10,unbiased,3
1059,3,100,100,10,unbiased,4
1060,3,100,100,30,biased,0
1061,3,100,100,30,biased,1
1062,3,100,100,30,biased,2
1063,3,100,100,30,biased,3
1064,3,100,100,30,biased,4
1065,3,100,100,30,unbiased,0
1066,3,100,100,30,unbiased,1
1067,3,100,100,30,unbiased,2
1068,3,100,100,30,unbiased,3
1069,3,100,100,30,unbiased,4
1070,3,100,100,100,biased,0
1071,3,100,100,100,biased,1
1072,3,100,100,100,biased,2
1073,3,100,100,100,biased,3
1074,3,100,100,100,biased,4
1075,3,100,100,100,unbiased,0
1076,3,100,100,100,unbiased,1
1077,3,100,100,100,unbiased,2
1078,3,100,100,100,unbiased,3
1079,3,100,100,100,unbiased,4
1080,3,100,100,300,biased,0
1081,3,100,100,300,biased,1
1082,3,100,100,300,biased,2
1083,3,100,100,300,biased,3
1084,3,100,100,300,biased,4
1085,3,100,100,300,unbiased,0
1086,3,100,100,300,unbiased,1
1087,3,100,100,300,unbiased,2
1088,3,100,100,300,unbiased,3
1089,3,100,100,300,unbiased,4
1100,3,1000,10,10,biased,0
1101,3,1000,10,10,biased,1
1102,3,1000,10,10,biased,2
1103,3,1000,10,10,biased,3
1104,3,1000,10,10,biased,4
1105,3,1000,10,10,unbiased,0
1106,3,1000,10,10,unbiased,1
1107,3,1000,10,10,unbiased,2
1108,3,1000,10,10,unbiased,3
1109,3,1000,10,10,unbiased,4
1110,3,1000,10,30,biased,0
1111,3,1000,10,30,biased,1
1112,3,1000,10,30,biased,2
1113,3,1000,10,30,biased,3
1114,3,1000,10,30,biased,4
1115,3,1000,10,30,unbiased,0
1116,3,1000,10,30,unbiased,1
1117,3,1000,10,30,unbiased,2
1118,3,1000,10,30,unbiased,3
1119,3,1000,10,30,unbiased,4
1120,3,1000,10,100,biased,0
1121,3,1000,10,100,biased,1
1122,3,1000,10,100,biased,2
1123,3,1000,10,100,biased,3
1124,3,1000,10,100,biased,4
1125,3,1000,10,100,unbiased,0
1126,3,1000,10,100,unbiased,1
1127,3,1000,10,100,unbiased,2
1128,3,1000,10,100,unbiased,3
1129,3,1000,10,100,unbiased,4
1130,3,1000,10,300,biased,0
1131,3,1000,10,300,biased,1
1132,3,1000,10,300,biased,2
1133,3,1000,10,300,biased,3
1134,3,1000,10,300,biased,4
1135,3,1000,10,300,unbiased,0
1136,3,1000,10,300,unbiased,1
1137,3,1000,10,300,unbiased,2
1138,3,1000,10,300,unbiased,3
1139,3,1000,10,300,unbiased,4
1150,3,1000,100,10,biased,0
1151,3,1000,100,10,biased,1
1152,3,1000,100,10,biased,2
1153,3,1000,100,10,biased,3
1154,3,1000,100,10,biased,4
1155,3,1000,100,10,unbiased,0
1156,3,1000,100,10,unbiased,1
1157,3,1000,100,10,unbiased,2
1158,3,1000,100,10,unbiased,3
1159,3,1000,100,10,unbiased,4
1160,3,1000,100,30,biased,0
1161,3,1000,100,30,biased,1
1162,3,1000,100,30,biased,2
1163,3,1000,100,30,biased,3
1164,3,1000,100,30,biased,4
1165,3,1000,100,30,unbiased,0
1166,3,1000,100,30,unbiased,1
1167,3,1000,100,30,unbiased,2
1168,3,1000,100,30,unbiased,3
1169,3,1000,100,30,unbiased,4
1170,3,1000,100,100,biased,0
1171,3,1000,100,100,biased,1
1172,3,1000,100,100,biased,2
1173,3,1000,100,100,biased,3
1174,3,1000,100,100,biased,4
1175,3,1000,100,100,unbiased,0
1176,3,1000,100,100,unbiased,1
1177,3,1000,100,100,unbiased,2
1178,3,1000,100,100,unbiased,3
1179,3,1000,100,100,unbiased,4
1180,3,1000,100,300,biased,0
1181,3,1000,100,300,biased,1
1182,3,1000,100,300,biased,2
1183,3,1000,100,300,biased,3
1184,3,1000,100,300,biased,4
1185,3,1000,100,300,unbiased,0
1186,3,1000,100,300,unbiased,1
1187,3,1000,100,300,unbiased,2
1188,3,1000,100,300,unbiased,3
1189,3,1000,100,300,unbiased,4
